entry_utc,exit_utc,coin,side,entry,exit,hold_h,return_pct
2024-08-05 15:00,2024-08-08 15:00,RSR,short,0.00354123,0.003791,72,-6.7
2024-08-05 15:00,2024-08-08 15:00,SNX,short,1.26137,1.313,72,-4.1
2024-08-08 15:00,2024-08-11 15:00,GAS,long,3.30765,3.454,72,4.3
2024-08-10 12:00,2024-08-13 12:00,MTL,short,0.998201,0.9536,72,4.6
2024-08-11 11:00,2024-08-14 11:00,KNC,short,0.43958,0.4324,72,1.6
2024-08-12 11:00,2024-08-15 11:00,SNX,short,1.33033,1.329,72,0.1
2024-08-12 13:00,2024-08-15 13:00,ONT,short,0.164518,0.1701,72,-3.5
2024-08-14 13:00,2024-08-17 13:00,MTL,short,0.95882,0.9093,72,5.3
2024-08-15 13:00,2024-08-18 13:00,ZRO,short,3.50625,3.45,72,1.5
2024-08-15 17:00,2024-08-17 18:00,RSR,short,0.00390405,0.00448965,49,-13.3
2024-08-15 18:00,2024-08-18 18:00,ONT,short,0.163818,0.1709,72,-4.3
2024-08-16 13:00,2024-08-19 13:00,GAS,short,3.15942,3.25,72,-2.9
2024-08-20 07:00,2024-08-23 07:00,RSR,long,0.00552476,0.005682,72,2.8
2024-08-20 15:00,2024-08-23 15:00,ONT,short,0.176412,0.1887,72,-6.7
2024-08-23 15:00,2024-08-26 15:00,GAS,long,3.69985,3.557,72,-4.0
2024-08-24 02:00,2024-08-27 02:00,ONT,short,0.192004,0.1797,72,6.8
2024-08-28 16:00,2024-08-31 16:00,IOTA,short,0.124038,0.1234,72,0.5
2024-08-31 17:00,2024-09-03 17:00,ID,short,0.333983,0.33295,72,0.1
2024-09-01 15:00,2024-09-04 15:00,QTUM,short,2.2089,2.176,72,1.4
2024-09-02 14:00,2024-09-05 14:00,TON,short,5.14543,4.6677,72,10.1
2024-09-03 13:00,2024-09-06 13:00,SUI,short,0.804298,0.8549,72,-6.0
2024-09-04 01:00,2024-09-07 01:00,IOTA,short,0.11924,0.1168,72,2.0
2024-09-04 01:00,2024-09-07 01:00,RARE,short,0.146227,0.1409,72,3.7
2024-09-04 01:00,2024-09-07 01:00,ZRO,short,3.24738,3.205,72,1.2
2024-09-04 14:00,2024-09-07 14:00,ID,short,0.330215,0.3212,72,2.7
2024-09-05 19:00,2024-09-08 19:00,QTUM,short,2.13693,2.158,72,-1.1
2024-09-06 07:00,2024-09-09 07:00,TON,short,4.78541,4.9364,72,-3.1
2024-09-06 15:00,2024-09-09 15:00,GMX,short,23.4343,23.234,72,0.8
2024-09-11 03:00,2024-09-14 03:00,MTL,long,0.91996,0.9226,72,0.3
2024-09-12 15:00,2024-09-15 15:00,TON,short,5.47496,5.6596,72,-3.5
2024-09-14 12:00,2024-09-17 12:00,QTUM,long,2.32616,2.222,72,-4.6
2024-09-16 16:00,2024-09-19 16:00,ZIL,short,0.0130835,0.01431,72,-8.6
2024-09-17 19:00,2024-09-20 19:00,AXS,short,4.62669,4.888,72,-5.6
2024-09-18 12:00,2024-09-21 12:00,GMX,short,22.6847,25.399,72,-10.7
2024-09-22 14:00,2024-09-25 14:00,AXS,short,4.80959,5.255,72,-8.6
